0,Malaki,Dawson,Jun.,"23,",1992,(941),749-8292,9307 South College Drive ,Monsey,10952, NY
1,Adalyn,Randolph,May,"23,",2011,(449),217-3244,8672 Prince St. ,Midland,48640, MI
2,Joey,Ibarra,Nov.,"8,",1923,(884),287-6541,9148 Smith St. ,Grand Rapids,49503, MI
3,Karlee,Lawrence,Aug.,"16,",1982,(660),676-8953,5 Andover Ave. ,Port Charlotte,33952, FL
4,Julianne,Jackson,Apr.,"27,",1952,(625),513-8560,26 Vermont Lane ,North Miami Beach,33160, FL
5,Isabela,Hickman,Sep.,"18,",1999,(300),557-1809,58 Meadowbrook St. ,Roslindale,2131, MA
6,Braden,Yates,Jan.,"4,",1968,(792),765-2097,9639 West Leeton Ridge Road ,Columbia,21044, MD
7,Arturo,Downs,Jun.,"13,",1975,(848),528-8288,21 Linden St. ,Newtown,18940, PA
8,Karter,Small,Nov.,"24,",2011,(377),202-3798,7558 Fordham Street ,Mobile,36605, AL
9,Whitney,Kirby,May,"2,",1950,(697),715-5750,29 E. Lilac Dr. ,Christiansburg,24073, VA
10,Adison,Shaffer,Jan.,"9,",1948,(954),244-1634,753 Santa Clara Lane ,Villa Park,60181, IL
11,Eliza,Stephenson,Feb.,"10,",2018,(847),544-9530,8282 Brickyard Court ,Wilmette,60091, IL
12,Malakai,Olson,Dec.,"10,",1976,(446),749-6937,282 S. Clark St. ,Allen Park,48101, MI
13,Estrella,Griffith,Jun.,"19,",1930,(356),501-5826,65 Valley Street ,Central Islip,11722, NY
14,Brielle,Crosby,Jan.,"25,",1984,(658),571-3790,372 Sheffield Drive ,North Ridgeville,44039, OH
15,Miya,Glenn,Jun.,"5,",1997,(791),781-4398,22 Selby Ave. ,Ottumwa,52501, IA
16,Amiah,Watson,May,"26,",1903,(275),540-0789,34 Bridge St. ,Marcus Hook,19061, PA
17,Jayla,Miller,Jan.,"21,",1929,(795),365-9892,89 West Leatherwood Lane ,Norwalk,6851, CT
18,Braylen,Carr,May,"26,",1938,(773),832-7079,807 Bradford St. ,North Fort Myers,33917, FL
19,Cynthia,Gaines,Sep.,"20,",1957,(745),499-8777,9830 Lancaster St. ,Drexel Hill,19026, PA
20,Genevieve,Park,Nov.,"24,",1904,(832),594-7447,359 University Drive ,Pewaukee,53072, WI
21,Mireya,Marks,Aug.,"5,",1942,(335),671-1922,148 Squaw Creek Street ,Fort Washington,20744, MD
22,Aryanna,Lester,Mar.,"16,",1932,(654),354-3102,405 Bridle Dr. ,Beckley,25801, WV
23,Jovanny,Sellers,Oct.,"22,",1904,(328),213-9275,500 Homestead Rd. ,Upper Darby,19082, PA
24,Quinton,Krueger,Sep.,"25,",1943,(369),853-1831,25 Magnolia Ave. ,Basking Ridge,7920, NJ
25,Desirae,Dodson,Mar.,"23,",1906,(684),378-7995,79 Galvin Avenue ,Delaware,43015, OH
26,Alivia,Harrington,Sep.,"26,",1902,(316),224-9365,380 E. Newbridge Ave. ,Fuquay Varina,27526, NC
27,Ada,Castillo,Sep.,"11,",1929,(388),673-6717,86 Elizabeth Ave. ,Winter Springs,32708, FL
28,Rory,Pennington,Jul.,"29,",1904,(587),974-1015,57 Arlington St. ,Brick,8723, NJ
29,Jensen,Orr,Jul.,"21,",1921,(455),353-9431,288 Adams Court ,Prattville,36067, AL
30,Joslyn,Garrison,Apr.,"16,",1957,(765),429-6883,91 West Cottage Ave. ,Monroe,10950, NY
31,Seamus,Duncan,Oct.,"25,",1931,(895),795-0126,8049 1st Rd. ,Revere,2151, MA
32,Helen,Houston,Nov.,"29,",1905,(903),825-8199,143 Cactus St. ,Racine,53402, WI
33,Heidi,Velez,Jan.,"12,",1900,(716),393-1976,53 Rose Lane ,Lagrange,30240, GA
34,Erin,Odom,May,"29,",1940,(389),931-3475,7369 S. Oakland Lane ,Fort Walton Beach,32547, FL
35,Pablo,Baldwin,Sep.,"22,",2013,(235),493-7304,5 Rocky River Street ,Davison,48423, MI
36,Abagail,Leonard,May,"25,",2008,(702),952-4521,8739 Lakewood Street ,Pearl,39208, MS
37,Talia,Ellis,May,"31,",1972,(571),596-1938,7 Lakeview Street ,Greenfield,46140, IN
38,Easton,Kidd,Jan.,"12,",1985,(792),503-0254,353 Longfellow Dr. ,Providence,2904, RI
39,Eugene,Pham,Jun.,"8,",1985,(973),724-3203,3 Constitution St. ,Augusta,30906, GA
40,George,Kaiser,Mar.,"13,",1944,(817),933-4738,8942 Marsh St. ,Marysville,43040, OH
41,Addison,Luna,Apr.,"8,",1953,(662),933-5410,13 Cottage Court ,East Elmhurst,11369, NY
42,Regan,Carey,Jan.,"27,",2011,(311),218-4317,4 Inverness Street ,Lithonia,30038, GA
43,Moriah,Mcgrath,Feb.,"24,",2002,(695),982-4195,116 Dunbar St. ,Thomasville,27360, NC
44,Angel,Townsend,May,"8,",1900,(447),617-3087,931 Argyle Lane ,Catonsville,21228, MD
45,Leticia,Winters,Apr.,"26,",1957,(951),637-3421,8 Arnold Ave. ,Waterford,48329, MI
46,Lilyana,Guerra,Jun.,"18,",1989,(219),433-7681,511 Lees Creek St. ,Winona,55987, MN
47,Cierra,Miller,Oct.,"2,",1942,(692),862-5463,757 Lake Forest Court ,Elmont,11003, NY
48,Kenley,Sandoval,Aug.,"7,",1939,(560),877-0002,7 Bishop Drive ,Michigan City,46360, IN
49,Amber,Shepard,Sep.,"12,",1992,(333),564-3339,135 Stonybrook Lane ,Wethersfield,6109, CT
50,Jaron,Harvey,Jan.,"18,",2014,(852),864-3217,6 Pulaski Avenue ,Honolulu,96815, HI
51,Makai,Skinner,Mar.,"31,",1910,(641),612-1821,92 Meadowbrook Ave. ,Port Chester,10573, NY
52,Jordin,Hoover,Nov.,"14,",1922,(750),784-8959,7231 Devonshire Drive ,Austin,55912, MN
53,Giovanny,Barrera,Jan.,"13,",2015,(435),544-1200,98 West Wakehurst Drive ,Apex,27502, NC
54,Brenda,Hickman,Jun.,"15,",1955,(276),713-8335,298 Arcadia St. ,Elkhart,46514, IN
55,Maverick,Saunders,Jul.,"27,",1903,(230),571-1429,640 Marshall Lane ,Flowery Branch,30542, GA
