1, Malaki Dawson, 1992/06/23, 9307 South College Drive, Monsey, 10952,  NY, 941 749 8292
2, Isabela Hickman, 1999/09/18, 58 Meadowbrook St., Roslindale, 2131,  MA, 300 557 1809
3, Whitney Kirby, 1950/05/2, 29 E. Lilac Dr., Christiansburg, 24073,  VA, 697 715 5750
4, Malakai Olson, 1976/12/10, 282 S. Clark St., Allen Park, 48101,  MI, 446 749 6937
5, Brielle Crosby, 1984/01/25, 372 Sheffield Drive, North Ridgeville, 44039,  OH, 658 571 3790
6, Miya Glenn, 1997/06/5, 22 Selby Ave., Ottumwa, 52501,  IA, 791 781 4398
7, Jayla Miller, 1929/01/21, 89 West Leatherwood Lane, Norwalk, 6851,  CT, 795 365 9892
8, Jensen Orr, 1921/07/21, 288 Adams Court, Prattville, 36067,  AL, 455 353 9431
9, Heidi Velez, 1900/01/12, 53 Rose Lane, Lagrange, 30240,  GA, 716 393 1976
10, Talia Ellis, 1972/05/31, 7 Lakeview Street, Greenfield, 46140,  IN, 571 596 1938
11, Lilyana Guerra, 1989/06/18, 511 Lees Creek St., Winona, 55987,  MN, 219 433 7681
12, Makai Skinner, 1910/03/31, 92 Meadowbrook Ave., Port Chester, 10573,  NY, 641 612 1821
13, Jordin Hoover, 1922/11/14, 7231 Devonshire Drive, Austin, 55912,  MN, 750 784 8959
14, Madelynn Osborn, 1971/06/1, 347 W. Santa Clara Court, Tuckerton, 8087,  NJ, 385 923 4272
15, Kylan Oconnell, 1902/09/8, 825C Ketch Harbour St., Billerica, 1821,  MA, 331 753 9791
16, Colin Wade, 1976/03/9, 753 Manor Rd., Atlantic City, 8401,  NJ, 921 347 7121
17, Mya Johns, 1962/08/10, 201 N. Riverview Ave., Hamtramck, 48212,  MI, 844 345 8080
18, Erick Willis, 1929/09/22, 9144 Grandrose St., Stafford, 22554,  VA, 891 326 3260
19, Camryn Nguyen, 1933/10/31, 444 New St., Oxford, 38655,  MS, 440 432 9488
20, Taliyah Acosta, 1907/07/3, 8064 Second Court, Fairfax, 22030,  VA, 367 659 5542
21, Lilyana Ashley, 2017/01/30, 9025 Bay Street, Spring Valley, 10977,  NY, 662 556 9320
22, Noel Watson, 1905/07/6, 218 Hillcrest St., Media, 19063,  PA, 926 994 7602
23, Mareli Barnett, 1943/02/8, 726 Randall Mill Road, New Rochelle, 10801,  NY, 376 593 6607
24, Maximo Shaffer, 1952/06/21, 8201 Poor House Dr., Wappingers Falls, 12590,  NY, 705 354 5098
25, Karley Duke, 1940/05/17, 441 Marlborough Street, Osseo, 55311,  MN, 252 981 7763
26, Frankie Carr, 1927/01/5, 213 Rockville Lane, Daphne, 36526,  AL, 536 425 2629
27, Mila Myers, 1985/07/19, 8114 Surrey Street, Galloway, 43119,  OH, 513 909 8185
28, Tommy Barr, 1912/07/31, 715 Illinois St., Canfield, 44406,  OH, 832 353 2049
29, Conner Finley, 1952/11/3, 886 Blue Spring Street, Stratford, 6614,  CT, 519 536 1730
30, Amelia Phelps, 1937/11/16, 7593 North Young Dr., Bartlett, 60103,  IL, 407 410 7343
31, Alaina Duncan, 1944/12/2, 7829 Poplar Street, Largo, 33771,  FL, 549 361 4930
32, Kaiden Delacruz, 1974/04/9, 9 Johnson Street, Smyrna, 30080,  GA, 352 788 6400
33, Maci Charles, 1924/03/11, 9566 Rockcrest Ave., Madison, 35758,  AL, 730 211 3147
34, Shayna Douglas, 2004/10/29, 85 Windsor Lane, Coraopolis, 15108,  PA, 522 977 5216
35, Tristian Cabrera, 1932/05/4, 84 Division St., North Tonawanda, 14120,  NY, 704 823 5806
36, Khloe Sanchez, 1906/05/23, 75 E. Cedar Swamp Ave., New Baltimore, 48047,  MI, 686 926 8897
37, Davis Potter, 1978/12/6, 68 Brewery St., Winter Park, 32792,  FL, 698 825 3075
38, Eliana Garrett, 1938/04/23, 8 E. Grandrose Drive, Milledgeville, 31061,  GA, 862 974 1781
39, Aryanna Gross, 1963/01/22, 21 Poor House Dr., Moncks Corner, 29461,  SC, 597 608 3433
40, Claudia Peck, 1980/12/4, 904 Leeton Ridge Circle, Ladson, 29456,  SC, 287 393 7170
41, Axel Bolton, 2018/01/8, 71 Cactus St., Owensboro, 42301,  KY, 315 491 7911
42, Jace Moran, 1911/10/3, 958 Argyle Circle, Bowie, 20715,  MD, 921 849 5317
43, Naomi Velazquez, 1954/04/26, 696 Locust Ave., Middle Village, 11379,  NY, 581 476 2331
44, Camryn Guerrero, 1907/04/13, 2 Fieldstone Street, Waukesha, 53186,  WI, 383 310 5582
45, Jaelynn Henderson, 1920/09/22, 8271 E. High St., Roselle, 60172,  IL, 398 241 1747
46, Weston Walls, 2013/06/17, 110 Sierra St., Bemidji, 56601,  MN, 528 737 2459
47, Audrina Mcintyre, 1954/01/25, 44 Maple St., Ambler, 19002,  PA, 913 522 2172
48, Tatum Carpenter, 2010/01/1, 15 Oakland St., Downingtown, 19335,  PA, 882 962 0624
49, Jazlene Davila, 1929/03/26, 81 Albany Circle, Glendora, 91740,  CA, 636 377 0775
50, Courtney Larsen, 1972/06/22, 836 Grand Rd., Fort Mill, 29708,  SC, 467 928 3760
51, Ayla Bennett, 1967/12/20, 8672 Riverview Lane, Arlington Heights, 60004,  IL, 215 630 1364
52, Micaela Mccarthy, 1934/01/26, 770 Thomas Road, Williamstown, 8094,  NJ, 762 913 8092
53, Rigoberto Chaney, 1971/10/23, 91 10th St., Bergenfield, 7621,  NJ, 497 656 1788
54, Lexi Moss, 1946/03/18, 706 Creekside Court, Snohomish, 98290,  WA, 470 754 4909
55, Amaris Salazar, 1914/01/10, 20 Winding Way Ave., Waxhaw, 28173,  NC, 823 232 7980
56, Patience Clements, 1918/05/4, 91 Vine Street, Hixson, 37343,  TN, 370 355 4632
57, Deven Curtis, 1909/10/21, 245 Essex Street, Salem, 1970,  MA, 562 502 7110
58, Zechariah Riggs, 1958/01/25, 7061 Cottage Ave., Gainesville, 20155,  VA, 955 853 4346
59, Amy Kramer, 1933/06/7, 847 S. Glenholme Court, Wheeling, 26003,  WV, 860 999 5931
60, Gina Little, 1924/01/5, 58 Richardson St., Johnson City, 37601,  TN, 845 993 7326
61, Leonidas Padilla, 1920/09/14, 485 Wrangler Lane, Teaneck, 7666,  NJ, 372 582 1876
62, Simone Hogan, 1915/01/2, 9136 Westport Circle, Millington, 38053,  TN, 973 600 4930
63, Kobe Velasquez, 1987/02/22, 23 Forest Dr., Lincoln, 68506,  NE, 597 865 9440
64, Braylon Miller, 1978/12/24, 462 Cobblestone St., Elyria, 44035,  OH, 507 428 6199
65, Devan Reese, 1944/10/13, 7925 Illinois Rd., Baton Rouge, 70806,  LA, 287 867 0309
66, Gustavo Kidd, 1963/05/28, 3 Constitution St., Dickson, 37055,  TN, 343 391 9190
67, Jamari Stewart, 2011/10/9, 144 Jackson St., Hialeah, 33010,  FL, 559 889 7088
68, Jameson Alexander, 1905/08/1, 139 NE. Bayberry Street, Bay Shore, 11706,  NY, 421 276 2687
69, Bridget Cobb, 1907/05/12, 95 E. Garfield Street, Port Jefferson Station, 11776,  NY, 536 385 6407
70, Brayden Brennan, 1902/02/6, 730 Cedar Swamp Street, Chester, 19013,  PA, 394 722 6824
71, Arielle Buchanan, 1918/09/7, 8279 Ridgewood Ave., Ann Arbor, 48103,  MI, 278 938 0861
72, Sebastian Rhodes, 1906/05/18, 9055 High Street, King Of Prussia, 19406,  PA, 540 874 3147
73, Ralph Curry, 1922/03/4, 884 Park St., Warren, 48089,  MI, 733 248 8122
74, Adan Goodman, 1900/04/7, 3 Sunnyslope Drive, Portage, 46368,  IN, 442 799 2283
75, Ashly Fowler, 1945/03/31, 53 Winding Way Avenue, Oshkosh, 54901,  WI, 745 904 6794
76, Jazlynn West, 2011/10/23, 9413 Kent Lane, Pawtucket, 2860,  RI, 253 699 1603
77, Reina Frazier, 1988/07/9, 9478 N. Gainsway St., Belmont, 2478,  MA, 553 757 1968
78, Vincent Choi, 1959/10/3, 7572 Inverness Road, Akron, 44312,  OH, 537 204 6148
79, Jacquelyn Francis, 1930/01/17, 7081 Market St., Mount Airy, 21771,  MD, 379 552 2462
80, Finley Cole, 1915/02/28, 677 Cleveland St., Glenview, 60025,  IL, 257 896 6417
81, Lara Ramos, 1982/03/21, 843 West School St., Avon, 46123,  IN, 556 625 7950
82, Morgan Kaiser, 1966/12/13, 66 Glen Eagles St., Wallingford, 6492,  CT, 585 420 0379
83, London Hamilton, 1940/12/22, 101 South Wood Dr., Clearwater, 33756,  FL, 662 720 3999
84, Dwayne Chandler, 1955/01/30, 55 Forest St., Wellington, 33414,  FL, 485 203 2093
85, Jonas Norris, 1956/03/2, 7369 N. Airport Road, Brentwood, 11717,  NY, 649 356 8358
86, Sarai Terrell, 1909/08/25, 5 N. Brookside Street, Port Washington, 11050,  NY, 620 957 2051
87, Brittany Perry, 1941/10/29, 7803 W. Garden Street, Harrisonburg, 22801,  VA, 611 282 1366
88, Ean Rivers, 1932/11/5, 459 E. Miller Ave., Lumberton, 28358,  NC, 566 623 8289
89, Danna Rivera, 1983/08/1, 49 Santa Clara Lane, Quakertown, 18951,  PA, 677 911 3468
90, Jan Whitney, 1971/10/4, 200 Mulberry Dr., Cedar Falls, 50613,  IA, 752 411 7072
91, Sidney Coleman, 2009/05/3, 485 Wilson Rd., Middletown, 6457,  CT, 983 418 4386
92, Cristian Hernandez, 1994/04/26, 1 N. Hamilton Street, Brandon, 33510,  FL, 469 410 6552
93, Valeria Nixon, 2003/07/31, 7443 Beechwood Drive, Oceanside, 11572,  NY, 787 720 7758
94, Isabell Zhang, 1907/03/27, 757 West Fawn Ave., East Hartford, 6118,  CT, 969 407 4074
95, Griffin Fry, 1917/05/4, 401 Elizabeth Street, Beaver Falls, 15010,  PA, 839 718 4121
96, Daniel Kramer, 1964/12/13, 65 2nd St., Morganton, 28655,  NC, 384 520 1323
97, Aditya Ramsey, 1993/09/20, 502 Indian Summer Dr., Bensalem, 19020,  PA, 793 835 3505
98, Willie Harding, 1901/06/28, 8210 Hartford Road, Columbus, 31904,  GA, 382 921 6702
99, Carina Zavala, 1978/11/2, 74 Gulf Street, Ooltewah, 37363,  TN, 422 856 5740
100, Azaria Crosby, 1930/11/4, 75 South Race Road, Palos Verdes Peninsula, 90274,  CA, 721 565 1235
101, Dennis Mendez, 1902/08/3, 44 North Country Circle, Concord, 3301,  NH, 624 673 2947
